Date,WJ,CITIC,GY,EB,SH,BJ,ID(XY),CS,NJ,HZ,JS,WX,Merchants,MS,HX,PD,BOC,HS,CRCB,BANKCOMM,JY,NB,PSBC,ICBC,ABC,CCB,PA
2010/11/5,,4.025083,,3.224,,3.454242,7.218122,,2.433519,,,,10.444225,2.559626,4.701397,4.989081,2.733045,,,4.90614,,6.772878,,3.964515,2.550157,4.862074,
2010/11/8,,4.038587,,3.224,,3.464051,7.37238,,2.446473,,,,10.525389,2.586667,4.722733,5.053475,2.744316,,,4.917067,,6.763569,,4.052749,2.602319,4.756628,
2010/11/9,,3.944042,,3.131698,,3.368374,7.185208,,2.398354,,,,10.261557,2.55062,4.584035,4.917902,2.6936,,,4.895208,,6.568064,,3.976278,2.550157,4.72734,
2010/11/10,,3.883256,,3.072361,,3.253071,6.894376,,2.300274,,,,9.876016,2.496539,4.395552,4.785719,2.614708,,,4.753163,,6.395832,,3.899813,2.515382,4.625549,
2010/11/11,,3.937289,,3.118512,,3.284961,6.977822,,2.320633,,,,9.984279,2.523579,4.46668,4.82639,2.631613,,,4.785946,,6.535481,,4.011573,2.538566,4.66178,
2010/11/12,,3.707669,,2.85479,,3.093607,6.527653,,2.146679,,,,9.463374,2.397397,4.192849,4.534911,2.569626,,,4.693065,,6.051369,,3.888051,2.492199,4.486661,
2010/11/15,,3.78871,,2.85479,,3.093607,6.575706,,2.179988,,,,9.618941,2.415424,4.239077,4.585752,2.53018,,,4.66575,,6.060678,,3.817461,2.445832,4.432314,
2010/11/16,,3.646885,,2.683371,,2.978298,6.176102,,2.058700903,,,,9.226644,2.334309,4.015032,4.416281,2.49637,,,4.622042,,5.818626,,3.735115,2.387874,4.341736,
2010/11/17,,3.640132,,2.683371,,3.000377,6.229214,,2.058123346,,,,9.219887,2.325295,4.061267,4.450179,2.423113,,,4.540092,,5.925692,,3.629237,2.411057,4.293427,
2010/11/18,,3.856247,,2.584475,,3.042084,6.257035,,2.057545788,,,,9.253676,2.343322,4.09683,4.470511,2.462559,,,4.611115,,5.995512,,3.723352,2.474812,4.40816,
2010/11/19,,3.815727,,2.55151,,3.022458,6.224154,,2.05696823,,,,9.172512,2.338819,4.121721,4.446789,2.434383,,,4.583796,,5.911728,,3.65865,2.440036,4.365891,
2010/11/22,,3.727926,,2.518544,,2.961125,6.110349,,2.056390673,,,,8.962812,2.293751,4.007922,4.362056,2.406207,,,4.578333,,5.786043,,3.621197,2.428445,4.365891,
2010/11/23,,3.673901,,2.459207,,2.912063,6.024356,,2.055813115,,,,8.868134,2.280234,3.943911,4.290877,2.31041,,,4.485458,,5.720877,,3.537262,2.335712,4.257196,
2010/11/24,,3.721174,,2.498765,,2.956217,6.145755,,2.054658,,,,8.976327,2.307274,4.025703,4.334939,2.327315,,,4.479995,,5.767424,,3.573235,2.347304,4.263234,
2010/11/25,,3.78871,,2.610847,,3.012648,6.292441,,2.080195,,,,9.11838,2.329805,4.128832,4.406117,2.344221,,,4.474526,,5.921036,,3.615202,2.364691,4.257196,
2010/11/26,,3.721174,,2.55151,,2.958672,6.176102,,2.040912,,,,8.96957,2.311778,4.015032,4.41967,2.32168,,,4.441749,,5.795352,,3.549253,2.370487,4.202849,
2010/11/29,,3.707669,,2.53173,,2.946407,6.117936,,1.999658,,,,8.983086,2.311778,3.979468,4.392559,2.355491,,,4.469064,,5.781388,,3.573235,2.370487,4.275311,
2010/11/30,,3.667148,,2.525137,,2.919419,6.077469,,1.956444,,,,8.827518,2.284738,3.919012,4.301047,2.344221,,,4.430823,,5.688287,,3.621197,2.347304,4.233042,
2010/12/1,,3.673901,,2.525137,,2.921873,6.102762,,1.97216,,,,8.88165,2.284738,3.972357,4.317995,2.378031,,,4.490921,,5.674322,,3.59122,2.39367,4.245118,
2010/12/2,,3.687405,,2.53173,,2.936591,6.143229,,1.980016,,,,8.935782,2.298261,3.968803,4.334939,2.411843,,,4.551019,,5.678977,,3.621197,2.46322,4.353813,
2010/12/3,,3.680653,,2.53173,,2.948861,6.186222,,1.989837,,,,8.929024,2.298261,3.99014,4.345108,2.383667,,,4.474526,,5.692941,,3.585225,2.480608,4.287389,
2010/12/6,,3.727926,,2.564696,,2.973396,6.307621,,2.011444,,,,9.077833,2.311778,4.054149,4.42306,2.32168,,,4.441749,,5.800007,,3.537262,2.411057,4.208887,
2010/12/7,,3.714422,,2.558103,,2.973396,6.292441,,2.003588,,,,9.098107,2.311778,4.029258,4.42645,2.361126,,,4.463601,,5.795352,,3.579229,2.434241,4.263234,
