"","WJ","CITIC","GY","EB","SH","BJ","ID.XY.","CS","NJ","HZ","JS","WX","Merchants","MS","HX","PD","BOC","HS","CRCB","BANKCOMM","JY","NB","PSBC","ICBC","ABC","CCB","PA"
"2019/8/30",1261.279004,64612.69475,5526.732291,47224.73309,21873.27432,26801.67359,69821.76063,1784.375495,13337.08883,9802.838801,20663.78398,1628.467206,73047.80667,62744.22176,30217.19987,67893.42788,226046.9134,11304.61326,10298.33814,99324.09357,1216.454476,12393.71642,101100.8401,304219.5664,248618.687,245163.6405,37064.96312
"2019/9/2",1261.302861,64612.99976,5526.75361,47225.10151,21873.38459,26801.72104,69821.72441,1784.388091,13337.01745,9803.002668,20663.87855,1628.476863,73048.35159,62743.89834,30217.19512,67894.05988,226048.567,11304.77075,10298.3877,99324.31721,1216.436167,12393.88183,101101.0497,304221.6732,248623.0167,245164.2909,37065.52821
"2019/9/3",1261.326718,64613.30477,5526.77493,47225.46994,21873.49486,26801.76849,69821.68819,1784.400686,13336.94608,9803.166535,20663.97313,1628.48652,73048.89652,62743.57493,30217.19036,67894.69189,226050.2207,11304.92824,10298.43725,99324.54085,1216.417859,12394.04724,101101.2592,304223.7801,248627.3463,245164.9414,37066.0933
"2019/9/4",1261.350575,64613.60978,5526.796249,47225.83836,21873.60513,26801.81594,69821.65197,1784.413282,13336.87471,9803.330401,20664.0677,1628.496177,73049.44144,62743.25151,30217.18561,67895.3239,226051.8743,11305.08573,10298.4868,99324.76449,1216.399551,12394.21265,101101.4687,304225.8869,248631.676,245165.5918,37066.65839
"2019/9/5",1261.374432,64613.91479,5526.817569,47226.20679,21873.7154,26801.86338,69821.61575,1784.425877,13336.80333,9803.494268,20664.16227,1628.505834,73049.98636,62742.92809,30217.18085,67895.9559,226053.528,11305.24321,10298.53636,99324.98813,1216.381242,12394.37806,101101.6782,304227.9937,248636.0057,245166.2423,37067.22348
"2019/9/6",1261.398289,64614.21981,5526.838888,47226.57521,21873.82567,26801.91083,69821.57953,1784.438473,13336.73196,9803.658134,20664.25684,1628.515491,73050.53128,62742.60467,30217.17609,67896.58791,226055.1816,11305.4007,10298.58591,99325.21177,1216.362934,12394.54347,101101.8877,304230.1006,248640.3353,245166.8927,37067.78857
"2019/9/9",1261.422146,64614.52482,5526.860208,47226.94363,21873.93594,26801.95828,69821.54331,1784.451068,13336.66059,9803.822001,20664.35142,1628.525147,73051.0762,62742.28126,30217.17134,67897.21991,226056.8353,11305.55819,10298.63546,99325.43541,1216.344625,12394.70887,101102.0972,304232.2074,248644.665,245167.5432,37068.35366
"2019/9/10",1261.446003,64614.82983,5526.881527,47227.31206,21874.04621,26802.00573,69821.50709,1784.463664,13336.58922,9803.985868,20664.44599,1628.534804,73051.62112,62741.95784,30217.16658,67897.85192,226058.4889,11305.71568,10298.68502,99325.65905,1216.326317,12394.87428,101102.3068,304234.3143,248648.9947,245168.1936,37068.91875
"2019/9/11",1261.46986,64615.13484,5526.902847,47227.68048,21874.15648,26802.05318,69821.47087,1784.476259,13336.51784,9804.149734,20664.54056,1628.544461,73052.16604,62741.63442,30217.16183,67898.48392,226060.1426,11305.87317,10298.73457,99325.88269,1216.308009,12395.03969,101102.5163,304236.4211,248653.3243,245168.8441,37069.48384
"2019/9/12",1261.493717,64615.43986,5526.924166,47228.04891,21874.26675,26802.10062,69821.43464,1784.488855,13336.44647,9804.313601,20664.63513,1628.554118,73052.71096,62741.31101,30217.15707,67899.11593,226061.7962,11306.03066,10298.78412,99326.10633,1216.2897,12395.2051,101102.7258,304238.5279,248657.654,245169.4945,37070.04893
"2019/9/16",1261.517574,64615.74487,5526.945486,47228.41733,21874.37702,26802.14807,69821.39842,1784.50145,13336.3751,9804.477467,20664.72971,1628.563775,73053.25588,62740.98759,30217.15232,67899.74794,226063.4499,11306.18815,10298.83368,99326.32997,1216.271392,12395.37051,101102.9353,304240.6348,248661.9837,245170.145,37070.61402
"2019/9/17",1261.541431,64616.04988,5526.966805,47228.78576,21874.48729,26802.19552,69821.3622,1784.514045,13336.30373,9804.641334,20664.82428,1628.573432,73053.8008,62740.66417,30217.14756,67900.37994,226065.1035,11306.34564,10298.88323,99326.55361,1216.253084,12395.53592,101103.1448,304242.7416,248666.3133,245170.7955,37071.17911
"2019/9/18",1261.565288,64616.35489,5526.988125,47229.15418,21874.59756,26802.24297,69821.32598,1784.526641,13336.23235,9804.805201,20664.91885,1628.583088,73054.34572,62740.34075,30217.1428,67901.01195,226066.7572,11306.50313,10298.93278,99326.77725,1216.234775,12395.70132,101103.3543,304244.8484,248670.643,245171.4459,37071.7442
"2019/9/19",1261.589145,64616.6599,5527.009444,47229.52261,21874.70783,26802.29042,69821.28976,1784.539236,13336.16098,9804.969067,20665.01342,1628.592745,73054.89064,62740.01734,30217.13805,67901.64395,226068.4108,11306.66062,10298.98234,99327.00088,1216.216467,12395.86673,101103.5639,304246.9553,248674.9727,245172.0964,37072.30928
